PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,164,201,6,Red and white urgent despatch tape 48mmx75m,6,7,38.4,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,165,203,6,Tape dispenser (Black),6,7,170.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,166,217,9,Void fill 200 L bag (White) 200L,9,7,160.0,1/4/2019,1,3,1/4/2019 7:00
15,10,1/3/2019,8,2,1/23/2019,ML0300202,1,,,3,1/4/2019 7:00,167,68,47,Ride on toy sedan car (Red) 1/12 scale,47,7,145.0,1/4/2019,1,3,1/4/2019 7:00
15,10,1/3/2019,8,2,1/23/2019,ML0300202,1,,,3,1/4/2019 7:00,168,74,42,Ride on vintage American toy coupe (Black) 1/12 scale,42,7,155.0,1/4/2019,1,3,1/4/2019 7:00
16,12,1/3/2019,7,2,1/23/2019,237408032,1,,,3,1/4/2019 7:00,169,4,104,USB food flash drive - sushi roll,104,7,12.0,1/4/2019,1,3,1/4/2019 7:00
16,12,1/3/2019,7,2,1/23/2019,237408032,1,,,3,1/4/2019 7:00,170,10,111,USB food flash drive - chocolate bar,111,7,12.0,1/4/2019,1,3,1/4/2019 7:00
16,12,1/3/2019,7,2,1/23/2019,237408032,1,,,3,1/4/2019 7:00,171,13,99,USB food flash drive - shrimp cocktail,99,7,12.0,1/4/2019,1,3,1/4/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,172,77,9,"""The Gu"" red shirt XML tag t-shirt (White) XXS",9,6,84.0,1/7/2019,1,14,1/7/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,173,83,12,"""The Gu"" red shirt XML tag t-shirt (White) XXL",12,6,90.0,1/7/2019,1,14,1/7/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,174,131,21,Furry gorilla with big eyes slippers (Black) M,21,7,8.0,1/7/2019,1,14,1/7/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,175,132,24,Furry gorilla with big eyes slippers (Black) L,24,7,8.0,1/7/2019,1,14,1/7/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,176,142,16,Halloween zombie mask (Light Brown) S,16,6,228.0,1/7/2019,1,14,1/7/2019 7:00
17,4,1/4/2019,7,2,1/18/2019,293092,1,,,14,1/7/2019 7:00,177,145,13,Halloween zombie mask (Light Brown) XL,13,6,228.0,1/7/2019,1,14,1/7/2019 7:00
18,5,1/4/2019,10,2,1/18/2019,8803922,1,,,14,1/7/2019 7:00,178,17,33,DBA joke mug - mind if I join you? (Black),33,7,4.5,1/7/2019,1,14,1/7/2019 7:00
18,5,1/4/2019,10,2,1/18/2019,8803922,1,,,14,1/7/2019 7:00,179,53,31,IT joke mug - keyboard not found . press F1 to continue (Black),31,7,4.5,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,180,157,5,10 mm Double sided bubble wrap 20m,5,7,140.0,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,181,161,12,20 mm Double sided bubble wrap 50m,12,7,160.0,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,182,174,7,Bubblewrap dispenser (Black) 1.5m,7,7,110.0,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,183,180,9,Shipping carton (Brown) 279x254x217mm,9,7,15.0,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,184,208,13,Permanent marker red 5mm nib (Red) 5mm,13,7,20.4,1/7/2019,1,14,1/7/2019 7:00
19,7,1/4/2019,2,2,1/18/2019,BC0280982,1,,,14,1/7/2019 7:00,185,218,8,Void fill 300 L bag (White) 300L,8,7,180.0,1/7/2019,1,14,1/7/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,4,76,8,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",8,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,5,77,1,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,6,78,1,"""The Gu"" red shirt XML tag t-shirt (White) XS",1,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,7,80,2,"""The Gu"" red shirt XML tag t-shirt (White) M",2,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,8,81,7,"""The Gu"" red shirt XML tag t-shirt (White) L",7,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,9,84,3,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",3,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,10,85,5,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",5,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,11,86,1,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,12,88,9,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",9,6,102.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,13,89,6,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",6,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,14,92,6,"""The Gu"" red shirt XML tag t-shirt (Black) S",6,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,15,94,9,"""The Gu"" red shirt XML tag t-shirt (Black) L",9,6,84.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,16,95,2,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2,6,90.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,17,98,1,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,18,99,14,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",14,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,19,100,14,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",14,6,96.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,20,102,6,Alien officer hoodie (Black) XL,6,7,17.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,21,104,10,Alien officer hoodie (Black) 3XL,10,7,17.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,22,109,16,Superhero action jacket (Blue) XS,16,7,19.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,23,110,12,Superhero action jacket (Blue) S,12,7,19.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,24,111,7,Superhero action jacket (Blue) M,7,7,22.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,25,113,6,Superhero action jacket (Blue) XL,6,7,22.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,26,115,11,Superhero action jacket (Blue) 3XL,11,7,24.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,27,121,22,Dinosaur battery-powered slippers (Green) XL,22,7,8.5,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,28,123,25,Ogre battery-powered slippers (Green) M,25,7,8.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,29,125,22,Ogre battery-powered slippers (Green) XL,22,7,8.5,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,30,126,24,Plush shark slippers (Gray) S,24,7,8.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,31,134,23,Animal with big feet slippers (Brown) S,23,7,8.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,32,138,23,Furry animal socks (Pink) S,23,9,18.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,33,141,16,Furry animal socks (Pink) XL,16,9,18.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,34,146,16,Halloween skull mask (Gray) S,16,6,180.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,35,147,17,Halloween skull mask (Gray) M,17,6,180.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,36,148,14,Halloween skull mask (Gray) L,14,6,180.0,1/2/2019,1,6,1/2/2019 7:00
2,4,1/1/2019,7,2,1/15/2019,293092,1,,,6,1/2/2019 7:00,37,149,12,Halloween skull mask (Gray) XL,12,6,180.0,1/2/2019,1,6,1/2/2019 7:00
20,10,1/4/2019,8,2,1/18/2019,ML0300202,1,,,14,1/7/2019 7:00,186,69,50,Ride on toy sedan car (Blue) 1/12 scale,50,7,145.0,1/7/2019,1,14,1/7/2019 7:00
21,4,1/5/2019,7,2,1/25/2019,293092,1,,,14,1/7/2019 7:00,187,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84.0,1/7/2019,1,14,1/7/2019 7:00
21,4,1/5/2019,7,2,1/25/2019,293092,1,,,14,1/7/2019 7:00,188,83,6,"""The Gu"" red shirt XML tag t-shirt (White) XXL",6,6,90.0,1/7/2019,1,14,1/7/2019 7:00
21,4,1/5/2019,7,2,1/25/2019,293092,1,,,14,1/7/2019 7:00,189,106,8,Alien officer hoodie (Black) 5XL,8,7,17.0,1/7/2019,1,14,1/7/2019 7:00
21,4,1/5/2019,7,2,1/25/2019,293092,1,,,14,1/7/2019 7:00,190,135,21,Animal with big feet slippers (Brown) M,21,7,8.0,1/7/2019,1,14,1/7/2019 7:00
21,4,1/5/2019,7,2,1/25/2019,293092,1,,,14,1/7/2019 7:00,191,144,18,Halloween zombie mask (Light Brown) L,18,6,228.0,1/7/2019,1,14,1/7/2019 7:00
22,5,1/5/2019,10,2,1/25/2019,8803922,1,,,14,1/7/2019 7:00,192,48,35,Developer joke mug - this code was generated by a tool (White),35,7,4.5,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,193,161,8,20 mm Double sided bubble wrap 50m,8,7,160.0,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,194,177,13,Shipping carton (Brown) 413x285x187mm,13,7,13.75,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,195,180,2,Shipping carton (Brown) 279x254x217mm,2,7,15.0,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,196,192,11,Black and orange fragile despatch tape 48mmx100m,11,7,82.8,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,197,204,2,Tape dispenser (Red),2,7,170.0,1/7/2019,1,14,1/7/2019 7:00
23,7,1/5/2019,2,2,1/25/2019,BC0280982,1,,,14,1/7/2019 7:00,198,218,5,Void fill 300 L bag (White) 300L,5,7,180.0,1/7/2019,1,14,1/7/2019 7:00
24,10,1/5/2019,8,2,1/25/2019,ML0300202,1,,,14,1/7/2019 7:00,199,65,83,RC vintage American toy coupe with remote control (Black) 1/50 scale,83,7,15.0,1/7/2019,1,14,1/7/2019 7:00
25,12,1/5/2019,7,2,1/25/2019,237408032,1,,,14,1/7/2019 7:00,200,8,204,USB food flash drive - dim sum 10 drive variety pack,204,9,88.5,1/7/2019,1,14,1/7/2019 7:00
25,12,1/5/2019,7,2,1/25/2019,237408032,1,,,14,1/7/2019 7:00,201,11,102,USB food flash drive - cookie,102,7,12.0,1/7/2019,1,14,1/7/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,202,77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS",2,6,84.0,1/8/2019,1,17,1/8/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,203,78,2,"""The Gu"" red shirt XML tag t-shirt (White) XS",2,6,84.0,1/8/2019,1,17,1/8/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,204,127,23,Plush shark slippers (Gray) M,23,7,8.0,1/8/2019,1,17,1/8/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,205,128,34,Plush shark slippers (Gray) L,34,7,8.0,1/8/2019,1,17,1/8/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,206,136,22,Animal with big feet slippers (Brown) L,22,7,8.0,1/8/2019,1,17,1/8/2019 7:00
26,4,1/7/2019,7,2,1/27/2019,293092,1,,,17,1/8/2019 7:00,207,140,26,Furry animal socks (Pink) L,26,9,18.0,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,208,27,26,DBA joke mug - SELECT caffeine FROM mug (Black),26,7,4.5,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,209,34,35,Developer joke mug - fun was unexpected at this time (White),35,7,4.5,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,210,35,40,Developer joke mug - fun was unexpected at this time (Black),40,7,4.5,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,211,36,27,Developer joke mug - when your hammer is C++ (White),27,7,4.5,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,212,47,31,Developer joke mug - a foo walks into a bar (Black),31,7,4.5,1/8/2019,1,17,1/8/2019 7:00
27,5,1/7/2019,10,2,1/27/2019,8803922,1,,,17,1/8/2019 7:00,213,51,26,Developer joke mug - old C developers never die (Black),26,7,4.5,1/8/2019,1,17,1/8/2019 7:00
28,7,1/7/2019,2,2,1/27/2019,BC0280982,1,,,17,1/8/2019 7:00,214,204,14,Tape dispenser (Red),14,7,170.0,1/8/2019,1,17,1/8/2019 7:00
29,10,1/7/2019,8,2,1/27/2019,ML0300202,1,,,17,1/8/2019 7:00,215,61,83,RC toy sedan car with remote control (Green) 1/50 scale,83,7,12.5,1/8/2019,1,17,1/8/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,38,16,28,DBA joke mug - mind if I join you? (White),28,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,39,18,46,DBA joke mug - daaaaaa-ta (White),46,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,40,19,36,DBA joke mug - daaaaaa-ta (Black),36,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,41,20,35,DBA joke mug - you might be a DBA if (White),35,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,42,21,36,DBA joke mug - you might be a DBA if (Black),36,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,43,22,38,DBA joke mug - it depends (White),38,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,44,23,30,DBA joke mug - it depends (Black),30,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,45,39,35,Developer joke mug - inheritance is the OO way to become wealthy (Black),35,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,46,40,43,"Developer joke mug - (hip, hip, array) (White)",43,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,47,41,41,"Developer joke mug - (hip, hip, array) (Black)",41,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,48,44,40,Developer joke mug - there are 10 types of people in the world (White),40,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,49,45,29,Developer joke mug - there are 10 types of people in the world (Black),29,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,50,50,42,Developer joke mug - old C developers never die (White),42,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,51,54,49,IT joke mug - that behavior is by design (White),49,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,52,55,43,IT joke mug - that behavior is by design (Black),43,7,4.5,1/2/2019,1,6,1/2/2019 7:00
3,5,1/1/2019,10,2,1/15/2019,8803922,1,,,6,1/2/2019 7:00,53,57,38,IT joke mug - hardware: part of the computer that can be kicked (Black),38,7,4.5,1/2/2019,1,6,1/2/2019 7:00
30,12,1/7/2019,7,2,1/27/2019,237408032,1,,,17,1/8/2019 7:00,216,12,101,USB food flash drive - donut,101,7,12.0,1/8/2019,1,17,1/8/2019 7:00
30,12,1/7/2019,7,2,1/27/2019,237408032,1,,,17,1/8/2019 7:00,217,14,97,USB food flash drive - fortune cookie,97,7,12.0,1/8/2019,1,17,1/8/2019 7:00
31,7,1/8/2019,2,2,1/28/2019,BC0280982,1,,,2,1/9/2019 7:00,218,204,4,Tape dispenser (Red),4,7,170.0,1/9/2019,1,2,1/9/2019 7:00
31,7,1/8/2019,2,2,1/28/2019,BC0280982,1,,,2,1/9/2019 7:00,219,215,9,Air cushion machine (Blue),9,7,1140.0,1/9/2019,1,2,1/9/2019 7:00
